,Survived,Pclass,Sex,Age
0,0,3,male,22.0
1,1,1,female,38.0
2,1,3,female,26.0
3,1,1,female,35.0
4,0,3,male,35.0
6,0,1,male,54.0
7,0,3,male,2.0
8,1,3,female,27.0
9,1,2,female,14.0
10,1,3,female,4.0
11,1,1,female,58.0
12,0,3,male,20.0
13,0,3,male,39.0
14,0,3,female,14.0
15,1,2,female,55.0
16,0,3,male,2.0
18,0,3,female,31.0
20,0,2,male,35.0
21,1,2,male,34.0
22,1,3,female,15.0
23,1,1,male,28.0
24,0,3,female,8.0
25,1,3,female,38.0
27,0,1,male,19.0
30,0,1,male,40.0
33,0,2,male,66.0
34,0,1,male,28.0
35,0,1,male,42.0
37,0,3,male,21.0
38,0,3,female,18.0
39,1,3,female,14.0
40,0,3,female,40.0
41,0,2,female,27.0
43,1,2,female,3.0
44,1,3,female,19.0
49,0,3,female,18.0
50,0,3,male,7.0
51,0,3,male,21.0
52,1,1,female,49.0
53,1,2,female,29.0
54,0,1,male,65.0
56,1,2,female,21.0
57,0,3,male,28.5
58,1,2,female,5.0
59,0,3,male,11.0
60,0,3,male,22.0
61,1,1,female,38.0
62,0,1,male,45.0
63,0,3,male,4.0
66,1,2,female,29.0
67,0,3,male,19.0
68,1,3,female,17.0
69,0,3,male,26.0
70,0,2,male,32.0
71,0,3,female,16.0
72,0,2,male,21.0
73,0,3,male,26.0
74,1,3,male,32.0
75,0,3,male,25.0
78,1,2,male,0.83
79,1,3,female,30.0
80,0,3,male,22.0
81,1,3,male,29.0
83,0,1,male,28.0
84,1,2,female,17.0
85,1,3,female,33.0
86,0,3,male,16.0
88,1,1,female,23.0
89,0,3,male,24.0
90,0,3,male,29.0
91,0,3,male,20.0
92,0,1,male,46.0
93,0,3,male,26.0
94,0,3,male,59.0
96,0,1,male,71.0
97,1,1,male,23.0
98,1,2,female,34.0
99,0,2,male,34.0
100,0,3,female,28.0
102,0,1,male,21.0
103,0,3,male,33.0
104,0,3,male,37.0
105,0,3,male,28.0
106,1,3,female,21.0
108,0,3,male,38.0
110,0,1,male,47.0
111,0,3,female,14.5
112,0,3,male,22.0
113,0,3,female,20.0
114,0,3,female,17.0
115,0,3,male,21.0
116,0,3,male,70.5
117,0,2,male,29.0
118,0,1,male,24.0
119,0,3,female,2.0
120,0,2,male,21.0
122,0,2,male,32.5
123,1,2,female,32.5
124,0,1,male,54.0
125,1,3,male,12.0
127,1,3,male,24.0
129,0,3,male,45.0
130,0,3,male,33.0
131,0,3,male,20.0
132,0,3,female,47.0
133,1,2,female,29.0
134,0,2,male,25.0
135,0,2,male,23.0
136,1,1,female,19.0
137,0,1,male,37.0
138,0,3,male,16.0
139,0,1,male,24.0
141,1,3,female,22.0
142,1,3,female,24.0
143,0,3,male,19.0
144,0,2,male,18.0
145,0,2,male,19.0
146,1,3,male,27.0
147,0,3,female,9.0
148,0,2,male,36.5
149,0,2,male,42.0
150,0,2,male,51.0
151,1,1,female,22.0
152,0,3,male,55.5
153,0,3,male,40.5
155,0,1,male,51.0
156,1,3,female,16.0
157,0,3,male,30.0
160,0,3,male,44.0
161,1,2,female,40.0
162,0,3,male,26.0
163,0,3,male,17.0
164,0,3,male,1.0
165,1,3,male,9.0
167,0,3,female,45.0
169,0,3,male,28.0
170,0,1,male,61.0
171,0,3,male,4.0
172,1,3,female,1.0
173,0,3,male,21.0
174,0,1,male,56.0
175,0,3,male,18.0
177,0,1,female,50.0
178,0,2,male,30.0
179,0,3,male,36.0
182,0,3,male,9.0
183,1,2,male,1.0
184,1,3,female,4.0
187,1,1,male,45.0
188,0,3,male,40.0
189,0,3,male,36.0
190,1,2,female,32.0
191,0,2,male,19.0
192,1,3,female,19.0
193,1,2,male,3.0
194,1,1,female,44.0
195,1,1,female,58.0
197,0,3,male,42.0
199,0,2,female,24.0
200,0,3,male,28.0
202,0,3,male,34.0
203,0,3,male,45.5
204,1,3,male,18.0
205,0,3,female,2.0
206,0,3,male,32.0
207,1,3,male,26.0
208,1,3,female,16.0
209,1,1,male,40.0
210,0,3,male,24.0
211,1,2,female,35.0
212,0,3,male,22.0
213,0,2,male,30.0
215,1,1,female,31.0
216,1,3,female,27.0
217,0,2,male,42.0
218,1,1,female,32.0
219,0,2,male,30.0
220,1,3,male,16.0
221,0,2,male,27.0
222,0,3,male,51.0
224,1,1,male,38.0
225,0,3,male,22.0
226,1,2,male,19.0
227,0,3,male,20.5
228,0,2,male,18.0
230,1,1,female,35.0
231,0,3,male,29.0
232,0,2,male,59.0
233,1,3,female,5.0
234,0,2,male,24.0
236,0,2,male,44.0
237,1,2,female,8.0
238,0,2,male,19.0
239,0,2,male,33.0
242,0,2,male,29.0
243,0,3,male,22.0
244,0,3,male,30.0
245,0,1,male,44.0
246,0,3,female,25.0
247,1,2,female,24.0
248,1,1,male,37.0
249,0,2,male,54.0
251,0,3,female,29.0
252,0,1,male,62.0
253,0,3,male,30.0
254,0,3,female,41.0
255,1,3,female,29.0
257,1,1,female,30.0
258,1,1,female,35.0
259,1,2,female,50.0
261,1,3,male,3.0
262,0,1,male,52.0
263,0,1,male,40.0
265,0,2,male,36.0
266,0,3,male,16.0
267,1,3,male,25.0
268,1,1,female,58.0
269,1,1,female,35.0
271,1,3,male,25.0
272,1,2,female,41.0
273,0,1,male,37.0
275,1,1,female,63.0
276,0,3,female,45.0
278,0,3,male,7.0
279,1,3,female,35.0
280,0,3,male,65.0
281,0,3,male,28.0
282,0,3,male,16.0
283,1,3,male,19.0
285,0,3,male,33.0
286,1,3,male,30.0
